,Find,Find,Find,Insert,Insert,Insert
,best_case,worst_case,average_case,best_case,worst_case,average_case
500,2.0,22.0,16.38,1.0,46.0,32.008
1000,2.0,24.0,18.434,1.0,49.0,36.048
1500,2.0,26.0,19.657333333333334,1.0,50.0,38.63733333333333
2000,2.0,26.0,20.372,1.0,54.0,40.068
2500,2.0,28.0,21.0728,1.0,54.0,41.5752
3000,2.0,28.0,21.565333333333335,1.0,58.0,42.451
3500,2.0,28.0,22.046857142857142,1.0,58.0,43.451142857142855
4000,2.0,28.0,22.446,1.0,58.0,44.207
4500,2.0,30.0,22.72711111111111,1.0,58.0,44.76111111111111
5000,2.0,30.0,23.1084,1.0,58.0,45.5628
